Product Name,Brand,Price (₹),Original Price (₹),Discount (%),Rating,Reviews,Material,Color,Size,Seating Height,Warranty (Months),Weight (KG),SKU,Dimensions (cm),Dimensions (inch)
Modern Fabric Sofa,ARRA,18000,20000,10%,3.5,5,Wood,Brown,2-Seater,14,6,20,FN1000000-S-PM20000,H 70 x W 120 x D 70,H 28 x W 48 x D 28
Luxury Leather Sofa,Urban Ladder,35000,39325,11%,3.6,12,Fabric,Grey,2-Seater,15,12,21,FN1000001-S-PM20001,H 71 x W 121 x D 71,H 29 x W 49 x D 29
Wooden Classic Sofa,Ikea,25000,28409,12%,3.7,19,Leather,Beige,2-Seater,16,18,22,FN1000002-S-PM20002,H 72 x W 122 x D 72,H 30 x W 50 x D 30
Compact Urban Sofa,Nilkamal,15000,17241,13%,3.8,26,Velvet,Blue,2-Seater,17,24,23,FN1000003-S-PM20003,H 73 x W 123 x D 73,H 31 x W 51 x D 31
Premium Designer Sofa,Godrej Interio,42000,48837,14%,3.9,33,Wood,Black,2-Seater,18,36,24,FN1000004-S-PM20004,H 74 x W 124 x D 74,H 32 x W 52 x D 32
Minimalist Sofa,Durian,20000,23529,15%,4,40,Fabric,Brown,2-Seater,19,6,25,FN1000005-S-PM20005,H 75 x W 125 x D 75,H 33 x W 53 x D 33
L-Shaped Sofa,HomeTown,30000,35714,16%,4.1,47,Leather,Grey,2-Seater,20,12,26,FN1000006-S-PM20006,H 76 x W 126 x D 76,H 34 x W 54 x D 34
Convertible Sofa Bed,ARRA,27000,32530,17%,4.2,54,Velvet,Beige,2-Seater,21,18,27,FN1000007-S-PM20007,H 77 x W 127 x D 77,H 35 x W 55 x D 35
Velvet Sofa,Urban Ladder,32000,39024,18%,4.3,61,Wood,Blue,2-Seater,22,24,28,FN1000008-S-PM20008,H 78 x W 128 x D 78,H 36 x W 56 x D 36
Recliner Sofa,Ikea,40000,49382,19%,4.4,68,Fabric,Black,2-Seater,14,36,29,FN1000009-S-PM20009,H 79 x W 129 x D 79,H 37 x W 57 x D 37
Modern Fabric Sofa,Nilkamal,18000,22500,20%,4.5,75,Leather,Brown,2-Seater,15,6,30,FN1000010-S-PM20010,H 80 x W 130 x D 80,H 38 x W 58 x D 38
Luxury Leather Sofa,Godrej Interio,35000,44303,21%,4.6,82,Velvet,Grey,2-Seater,16,12,31,FN1000011-S-PM20011,H 81 x W 131 x D 81,H 28 x W 59 x D 39
Wooden Classic Sofa,Durian,25000,32051,22%,4.7,89,Wood,Beige,2-Seater,17,18,32,FN1000012-S-PM20012,H 82 x W 132 x D 82,H 29 x W 60 x D 40
Compact Urban Sofa,HomeTown,15000,19480,23%,4.8,96,Fabric,Blue,2-Seater,18,24,33,FN1000013-S-PM20013,H 83 x W 133 x D 83,H 30 x W 61 x D 28
Premium Designer Sofa,ARRA,42000,55263,24%,4.9,103,Leather,Black,2-Seater,19,36,34,FN1000014-S-PM20014,H 84 x W 134 x D 84,H 31 x W 62 x D 29
Minimalist Sofa,Urban Ladder,20000,26666,25%,3.5,110,Velvet,Brown,2-Seater,20,6,35,FN1000015-S-PM20015,H 85 x W 135 x D 85,H 32 x W 63 x D 30
L-Shaped Sofa,Ikea,30000,40540,26%,3.6,117,Wood,Grey,2-Seater,21,12,36,FN1000016-S-PM20016,H 86 x W 136 x D 86,H 33 x W 64 x D 31
Convertible Sofa Bed,Nilkamal,27000,36986,27%,3.7,124,Fabric,Beige,2-Seater,22,18,37,FN1000017-S-PM20017,H 87 x W 137 x D 87,H 34 x W 65 x D 32
Velvet Sofa,Godrej Interio,32000,44444,28%,3.8,131,Leather,Blue,2-Seater,14,24,38,FN1000018-S-PM20018,H 88 x W 138 x D 88,H 35 x W 66 x D 33
Recliner Sofa,Durian,40000,56338,29%,3.9,138,Velvet,Black,2-Seater,15,36,39,FN1000019-S-PM20019,H 89 x W 139 x D 89,H 36 x W 67 x D 34
Modern Fabric Sofa,HomeTown,18000,25714,30%,4,145,Wood,Brown,2-Seater,16,6,40,FN1000020-S-PM20020,H 90 x W 140 x D 90,H 37 x W 68 x D 35
Luxury Leather Sofa,ARRA,35000,50724,31%,4.1,152,Fabric,Grey,2-Seater,17,12,41,FN1000021-S-PM20021,H 91 x W 141 x D 91,H 38 x W 69 x D 36
